Date,Open,High,Low,Close,Volume,Adj Close*,Log returns,Daily returns
31-Jul-08,11578,11578.9,11363.7,11378,2202000,11378,-0.007781372,-0.017757711
1-Aug-08,11379.9,11425.7,11267.1,11326.3,1897000,11326.3,-0.001977869,-0.004543857
4-Aug-08,11326.3,11382.2,11221.5,11284.2,1702500,11284.2,-0.001617286,-0.003717013
5-Aug-08,11286,11615.9,11286,11615.8,2349900,11615.8,0.012578351,0.029386221
6-Aug-08,11603.6,11685.5,11521.3,11656.1,1800600,11656.1,0.001504139,0.003469412
7-Aug-08,11655.4,11655.6,11416.7,11431.4,2296100,11431.4,-0.008453843,-0.01927746
8-Aug-08,11432.1,11760,11388,11734.3,2128300,11734.3,0.011357766,0.026497192
11-Aug-08,11729.7,11867.1,11675.5,11782.4,1831900,11782.4,0.001776575,0.004099094
12-Aug-08,11781.7,11782.4,11601.5,11642.5,1735900,11642.5,-0.005187516,-0.011873642
13-Aug-08,11632.8,11633.8,11453.3,11533,1825500,11533,-0.004103955,-0.009405196
14-Aug-08,11532.1,11718.3,11450.9,11615.9,1597900,11615.9,0.003110573,0.007188069
15-Aug-08,11611.2,11709.9,11599.7,11659.9,2150400,11659.9,0.001641961,0.003787911
18-Aug-08,11659.7,11690.4,11434.1,11479.4,1562900,11479.4,-0.006775637,-0.015480407
19-Aug-08,11478.1,11478.2,11318.5,11348.6,1715800,11348.6,-0.0049769,-0.011394324
20-Aug-08,11345.9,11454.2,11290.6,11417.4,1448800,11417.4,0.002624928,0.006062422
21-Aug-08,11415.2,11476.2,11315.6,11430.2,1300200,11430.2,0.000486613,0.001121096
22-Aug-08,11426.8,11632.1,11426.8,11628.1,1387900,11628.1,0.007454928,0.017313783
25-Aug-08,11626.2,11626.3,11362.6,11386.3,1486100,11386.3,-0.009126136,-0.020794455
26-Aug-08,11383.6,11436.2,11340.4,11412.9,1198000,11412.9,0.00101339,0.002336141
27-Aug-08,11412.5,11554.5,11381.8,11502.5,1205800,11502.5,0.00339623,0.007850765
28-Aug-08,11499.9,11715.2,11499.8,11715.2,1491500,11715.2,0.007957465,0.018491632
29-Aug-08,11713.2,11713.2,11543.4,11544,1669100,11544,-0.006393389,-0.014613494
2-Sep-08,11545.6,11790.2,11471.9,11516.9,1770900,11516.9,-0.001020722,-0.00234754
3-Sep-08,11506,11554.4,11416.5,11532.9,1742500,11532.9,0.00060293,0.001389263
4-Sep-08,11532.5,11532.5,11176,11188.2,2292000,11188.2,-0.013178305,-0.029888406
5-Sep-08,11185.6,11245.2,11037.9,11221,1983000,11221,0.001271341,0.00293166
8-Sep-08,11224.9,11570.7,11224.8,11510.7,2730000,11510.7,0.011070173,0.025817663
9-Sep-08,11514.7,11577.5,11230.7,11230.7,2573000,11230.7,-0.010694909,-0.024325193
10-Sep-08,11233.9,11380.6,11215.3,11268.9,2142600,11268.9,0.001474699,0.003401391
11-Sep-08,11264.4,11445.7,11098.7,11433.7,2478200,11433.7,0.006305268,0.01462432
12-Sep-08,11429.3,11459.9,11280.4,11422,2388900,11422,-0.000444637,-0.001023291
15-Sep-08,11416.4,11416.5,10917.5,10917.5,4329700,10917.5,-0.019618955,-0.044169147
16-Sep-08,10905.6,11093.2,10742.7,11059,4947600,11059,0.005592657,0.012960843
17-Sep-08,11056.6,11057.3,10595.9,10609.7,4632000,10609.7,-0.018012754,-0.040627543
18-Sep-08,10609,11076.4,10459.4,11019.7,4880600,11019.7,0.016466667,0.038643882
19-Sep-08,11027.5,11483.1,11026.7,11388.4,6551100,11388.4,0.014292941,0.033458261
22-Sep-08,11394.4,11394.6,10992.2,11015.7,2132100,11015.7,-0.014450613,-0.032726283
23-Sep-08,11015.7,11143.2,10833.9,10854.2,2044800,10854.2,-0.00641428,-0.014660893
24-Sep-08,10850,10928.4,10753.6,10825.2,1836300,10825.2,-0.001161891,-0.002671777
25-Sep-08,10827.2,11129.2,10827,11022.1,2185300,11022.1,0.007828418,0.01818904
